snapshot_timestamp,product_id,product_name,brand,category,retailer_company,store_location,warehouse_location,current_stock,reserved_stock,reorder_point,safety_stock,sales_velocity_per_day,lead_time_days,stock_age_days,inventory_holding_cost,stockout_risk_score,warehouse
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,Spencer's,Ahmedabad,Ahmedabad,1810,64,363,223,82.74,13,120,4470.72,0.57,Ahmedabad
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,Spencer's,Pune,Mumbai,1346,34,326,216,64.81,7,55,2349.96,0.83,Mumbai
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,Spencer's,Kolkata,Kolkata,669,113,162,111,26.11,14,111,991.71,0.22,Kolkata
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,Spencer's,Delhi,Ahmedabad,1472,73,489,366,124.94,3,57,4136.1,0.82,Ahmedabad
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,JioMart,Kolkata,Bengaluru,6721,52,1724,969,219.85,9,28,4390.93,0.86,Bengaluru
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,JioMart,Chennai,Ahmedabad,392,83,241,137,48.75,13,101,3000.96,0.7,Ahmedabad
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,Star Bazaar,Bengaluru,Chennai,5048,24,1219,512,213.59,9,65,4637.24,0.53,Chennai
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,Star Bazaar,Delhi,Mumbai,578,162,193,82,26.66,15,31,2316.99,0.9,Mumbai
2026-06-21 19:57:13,SKU_1001,Coca Cola 200ml Regular,Coca Cola,Beverages,Star Bazaar,Mumbai,Mumbai,3114,117,421,279,131.78,11,67,1923.66,0.28,Mumbai
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,Blinkit,Chennai,Bengaluru,3302,139,498,252,142.34,7,113,809.56,0.27,Bengaluru
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,Blinkit,Pune,Hyderabad,1455,166,419,332,73.42,14,84,2880.23,0.65,Hyderabad
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,Blinkit,Kolkata,Delhi,4267,77,452,201,128.69,3,96,2989.51,0.3,Delhi
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,Blinkit,Ahmedabad,Hyderabad,3804,139,558,332,138.99,15,7,915.34,0.43,Hyderabad
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,Blinkit,Bengaluru,Hyderabad,580,51,491,341,71.72,10,91,2424.59,0.06,Hyderabad
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,BigBasket,Delhi,Pune,402,42,129,53,22.39,7,116,4698.9,0.92,Pune
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,BigBasket,Hyderabad,Mumbai,409,100,148,105,23.18,15,53,4882.27,0.72,Mumbai
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,Star Bazaar,Delhi,Chennai,1696,115,1307,942,195.69,15,95,4148.37,0.29,Chennai
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,Star Bazaar,Pune,Ahmedabad,1926,66,1298,622,176.41,9,45,1873.36,0.77,Ahmedabad
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,Star Bazaar,Mumbai,Chennai,532,81,244,181,61.66,14,36,2080.16,0.51,Chennai
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,DMart,Kolkata,Pune,4631,98,427,295,134.02,7,56,3227.94,0.51,Pune
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,DMart,Ahmedabad,Pune,2214,10,401,243,93.97,14,69,3590.86,0.9,Pune
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,DMart,Delhi,Chennai,2212,169,856,449,166.09,15,16,3738.89,0.32,Chennai
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,DMart,Mumbai,Hyderabad,1491,151,392,176,78.4,8,86,4731.64,0.66,Hyderabad
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,More Retail,Hyderabad,Chennai,3012,129,753,434,185.91,12,28,2800.28,0.76,Chennai
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,More Retail,Bengaluru,Hyderabad,5902,141,1332,886,211.77,11,43,920.24,0.91,Hyderabad
2026-06-21 19:57:13,SKU_1002,Coca Cola 200ml Value,Coca Cola,Beverages,More Retail,Ahmedabad,Delhi,1034,16,444,185,63.15,9,79,4323.82,0.12,Delhi
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,Blinkit,Delhi,Mumbai,456,118,110,53,16.14,14,90,2830.81,0.1,Mumbai
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,Blinkit,Chennai,Ahmedabad,2042,180,349,213,66.09,10,77,1927.84,0.73,Ahmedabad
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,Blinkit,Pune,Pune,3172,150,788,455,105.73,4,96,4376.73,0.46,Pune
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,Spencer's,Hyderabad,Hyderabad,1653,70,594,302,114.34,7,115,2930.69,0.17,Hyderabad
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,Spencer's,Pune,Mumbai,1668,116,407,229,62.41,10,60,2370.98,0.24,Mumbai
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,Spencer's,Ahmedabad,Kolkata,3279,157,598,330,101.13,2,46,1843.76,0.4,Kolkata
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,More Retail,Bengaluru,Pune,2119,195,726,338,114.56,9,118,1074.33,0.61,Pune
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,More Retail,Ahmedabad,Kolkata,382,31,119,78,20.53,4,111,2577.64,0.1,Kolkata
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,More Retail,Mumbai,Pune,1271,81,429,300,92.72,15,54,1635.22,0.12,Pune
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,More Retail,Delhi,Chennai,428,67,151,99,18.97,14,84,681.16,0.08,Chennai
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,More Retail,Pune,Bengaluru,2014,42,401,236,65.69,3,73,4764.91,0.47,Bengaluru
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,Star Bazaar,Chennai,Delhi,5823,89,1464,648,212.57,2,119,1903.81,0.66,Delhi
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,Star Bazaar,Mumbai,Mumbai,3955,161,1390,939,211.43,12,32,958.56,0.75,Mumbai
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,Star Bazaar,Hyderabad,Kolkata,4583,98,682,418,189.31,12,48,810.31,0.63,Kolkata
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,Star Bazaar,Ahmedabad,Pune,340,102,95,62,17.59,15,59,3682.89,0.44,Pune
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,JioMart,Ahmedabad,Mumbai,2170,81,500,376,70.02,5,97,2591.19,0.6,Mumbai
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,JioMart,Bengaluru,Delhi,813,134,672,325,92.69,14,34,2031.52,0.84,Delhi
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,JioMart,Pune,Bengaluru,2454,31,484,240,158.74,8,63,2998.29,0.27,Bengaluru
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,JioMart,Hyderabad,Kolkata,3064,33,590,305,112.6,8,89,1594.87,0.65,Kolkata
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,DMart,Ahmedabad,Ahmedabad,2876,79,475,248,102.23,5,16,3745.78,0.33,Ahmedabad
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,DMart,Hyderabad,Bengaluru,5633,65,1079,750,167.29,6,93,3153.14,0.73,Bengaluru
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,DMart,Pune,Hyderabad,4734,68,983,535,137.34,6,2,3686.08,0.16,Hyderabad
2026-06-21 19:57:13,SKU_1003,Coca Cola 200ml Family,Coca Cola,Beverages,DMart,Delhi,Delhi,230,173,108,80,24.33,9,14,4427.24,0.57,Delhi
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,Star Bazaar,Mumbai,Delhi,754,154,98,76,30.19,3,32,1033.03,0.74,Delhi
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,Star Bazaar,Pune,Pune,4088,125,575,438,139.3,6,111,3148.36,0.44,Pune
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,Star Bazaar,Kolkata,Mumbai,1266,63,1026,667,131.57,6,85,865.34,0.27,Mumbai
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,Star Bazaar,Bengaluru,Ahmedabad,1566,84,646,266,128.16,6,91,1772.23,0.82,Ahmedabad
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,Star Bazaar,Hyderabad,Bengaluru,423,118,127,56,29.59,5,83,1170.45,0.29,Bengaluru
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,Blinkit,Mumbai,Hyderabad,4271,122,1263,568,177.49,13,39,3648.8,0.9,Hyderabad
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,Blinkit,Kolkata,Kolkata,2508,120,400,277,117.6,11,33,616.39,0.26,Kolkata
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,Blinkit,Ahmedabad,Kolkata,4785,182,909,662,153.23,11,6,3933.99,0.21,Kolkata
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,BigBasket,Hyderabad,Chennai,4420,181,1077,475,213.66,4,43,2352.4,0.5,Chennai
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,BigBasket,Mumbai,Kolkata,2837,126,1026,446,150.83,6,42,1021.65,0.75,Kolkata
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,BigBasket,Ahmedabad,Ahmedabad,5821,115,578,243,192.31,10,47,3301.85,0.5,Ahmedabad
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,BigBasket,Bengaluru,Delhi,992,83,457,262,105.62,13,63,1046.42,0.93,Delhi
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,BigBasket,Chennai,Kolkata,2021,151,530,298,139.82,5,108,4608.18,0.47,Kolkata
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,DMart,Delhi,Pune,3274,133,1345,1065,206.19,5,59,2980.69,0.4,Pune
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,DMart,Bengaluru,Mumbai,4430,80,1508,1069,203.98,15,54,2029.44,0.76,Mumbai
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,Reliance Retail,Kolkata,Delhi,4416,124,1176,723,186.68,7,43,2983.63,0.54,Delhi
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,Reliance Retail,Delhi,Bengaluru,1808,156,427,236,108.35,15,100,2348.49,0.34,Bengaluru
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,Reliance Retail,Chennai,Delhi,3656,136,549,431,111.96,4,65,4844.09,0.35,Delhi
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,Reliance Retail,Pune,Ahmedabad,1096,13,124,85,35.57,8,112,3446.52,0.19,Ahmedabad
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,JioMart,Hyderabad,Pune,5880,91,1383,899,189.61,14,63,4425.72,0.08,Pune
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,JioMart,Delhi,Bengaluru,726,33,220,126,29.03,3,98,3351.87,0.84,Bengaluru
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,JioMart,Ahmedabad,Kolkata,2832,93,796,571,105.95,6,46,2186.78,0.18,Kolkata
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,JioMart,Bengaluru,Delhi,2884,54,862,372,123.89,15,49,3288.7,0.27,Delhi
2026-06-21 19:57:13,SKU_1004,Coca Cola 750ml Mini,Coca Cola,Beverages,JioMart,Kolkata,Hyderabad,2398,127,1072,538,202.13,2,116,4120.85,0.86,Hyderabad
2026-06-21 19:57:13,SKU_1005,Coca Cola 750ml Regular,Coca Cola,Beverages,DMart,Pune,Ahmedabad,2519,37,927,458,188.29,11,46,3086.65,0.94,Ahmedabad
2026-06-21 19:57:13,SKU_1005,Coca Cola 750ml Regular,Coca Cola,Beverages,DMart,Chennai,Hyderabad,2598,12,475,297,75.52,12,100,3851.01,0.09,Hyderabad
2026-06-21 19:57:13,SKU_1005,Coca Cola 750ml Regular,Coca Cola,Beverages,DMart,Delhi,Hyderabad,2982,68,1047,673,139.31,7,29,3364.78,0.61,Hyderabad
2026-06-21 19:57:13,SKU_1005,Coca Cola 750ml Regular,Coca Cola,Beverages,DMart,Bengaluru,Delhi,4227,170,969,425,153.94,12,83,677.4,0.76,Delhi
2026-06-21 19:57:13,SKU_1005,Coca Cola 750ml Regular,Coca Cola,Beverages,Blinkit,Chennai,Pune,1365,54,194,93,41.94,14,70,4444.07,0.38,Pune
2026-06-21 19:57:13,SKU_1005,Coca Cola 750ml Regular,Coca Cola,Beverages,Blinkit,Ahmedabad,Ahmedabad,1810,85,450,314,117.87,7,103,1018.26,0.92,Ahmedabad
2026-06-21 19:57:13,SKU_1005,Coca Cola 750ml Regular,Coca Cola,Beverages,BigBasket,Bengaluru,Chennai,5632,33,1280,916,163.46,2,34,2914.58,0.46,Chennai
2026-06-21 19:57:13,SKU_1005,Coca Cola 750ml Regular,Coca Cola,Beverages,BigBasket,Pune,Chennai,3999,37,905,606,152.93,9,4,3287.96,0.9,Chennai
2026-06-21 19:57:13,SKU_1005,Coca Cola 750ml Regular,Coca Cola,Beverages,BigBasket,Chennai,Ahmedabad,2012,189,513,267,82.24,8,15,1129.0,0.9,Ahmedabad
2026-06-21 19:57:13,SKU_1005,Coca Cola 750ml Regular,Coca Cola,Beverages,JioMart,Ahmedabad,Pune,2296,160,1037,722,196.89,4,114,2366.98,0.14,Pune
2026-06-21 19:57:13,SKU_1005,Coca Cola 750ml Regular,Coca Cola,Beverages,JioMart,Kolkata,Kolkata,2193,186,894,490,115.32,9,57,4777.5,0.82,Kolkata
2026-06-21 19:57:13,SKU_1005,Coca Cola 750ml Regular,Coca Cola,Beverages,JioMart,Pune,Chennai,937,25,202,112,35.37,5,16,4770.55,0.79,Chennai
2026-06-21 19:57:13,SKU_1005,Coca Cola 750ml Regular,Coca Cola,Beverages,JioMart,Mumbai,Kolkata,463,22,209,149,33.79,5,17,4041.4,0.23,Kolkata
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,Blinkit,Kolkata,Mumbai,4911,179,1520,1134,217.44,4,2,2112.09,0.76,Mumbai
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,Blinkit,Delhi,Delhi,1143,199,587,333,135.71,3,96,786.01,0.45,Delhi
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,Blinkit,Mumbai,Bengaluru,2143,167,469,195,89.22,14,117,4401.41,0.52,Bengaluru
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,More Retail,Kolkata,Mumbai,3305,30,1174,620,155.65,4,9,1067.86,0.61,Mumbai
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,More Retail,Ahmedabad,Hyderabad,3675,126,662,398,135.0,8,13,4068.93,0.15,Hyderabad
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,More Retail,Bengaluru,Bengaluru,4729,120,859,498,149.22,5,53,2025.19,0.46,Bengaluru
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,More Retail,Chennai,Hyderabad,1059,105,514,401,100.28,12,119,2634.21,0.13,Hyderabad
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,More Retail,Hyderabad,Chennai,638,43,218,135,32.5,11,72,3027.58,0.65,Chennai
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,DMart,Chennai,Bengaluru,5169,49,1015,672,213.52,5,109,986.98,0.81,Bengaluru
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,DMart,Pune,Pune,2583,153,530,418,90.35,15,80,3261.08,0.63,Pune
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,DMart,Ahmedabad,Hyderabad,674,17,145,68,20.38,13,98,1890.43,0.36,Hyderabad
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,DMart,Bengaluru,Pune,511,27,94,42,16.25,12,4,912.91,0.53,Pune
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,DMart,Kolkata,Hyderabad,1865,194,348,184,92.12,11,77,882.31,0.1,Hyderabad
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,BigBasket,Kolkata,Ahmedabad,1831,116,384,195,70.78,14,66,1012.18,0.44,Ahmedabad
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,BigBasket,Chennai,Hyderabad,1923,21,397,193,73.07,11,8,534.59,0.32,Hyderabad
2026-06-21 19:57:13,SKU_1006,Coca Cola 750ml Value,Coca Cola,Beverages,BigBasket,Ahmedabad,Chennai,682,40,249,100,58.3,13,56,1290.63,0.39,Chennai
2026-06-21 19:57:13,SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,Spencer's,Kolkata,Mumbai,3599,113,674,275,132.55,7,22,4105.95,0.61,Mumbai
2026-06-21 19:57:13,SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,Spencer's,Bengaluru,Mumbai,6092,72,638,366,185.57,8,68,853.91,0.83,Mumbai
2026-06-21 19:57:13,SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,Spencer's,Ahmedabad,Mumbai,2347,140,1157,755,167.89,10,66,1372.57,0.75,Mumbai
2026-06-21 19:57:13,SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,Spencer's,Delhi,Delhi,2946,70,541,238,86.98,6,26,1280.75,0.19,Delhi
2026-06-21 19:57:13,SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,Spencer's,Pune,Ahmedabad,1712,128,1323,928,170.63,14,75,2520.07,0.88,Ahmedabad
2026-06-21 19:57:13,SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,Reliance Retail,Chennai,Kolkata,2783,100,775,467,111.13,6,60,2533.61,0.1,Kolkata
2026-06-21 19:57:13,SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,Reliance Retail,Mumbai,Mumbai,1868,167,1358,865,185.5,8,60,3111.48,0.91,Mumbai
2026-06-21 19:57:13,SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,Reliance Retail,Bengaluru,Bengaluru,1516,92,1256,806,166.48,10,20,4809.75,0.46,Bengaluru
2026-06-21 19:57:13,SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,Reliance Retail,Kolkata,Mumbai,5547,139,1434,944,181.25,2,32,3684.3,0.94,Mumbai
2026-06-21 19:57:13,SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,Blinkit,Chennai,Kolkata,2729,171,603,397,94.42,3,43,925.28,0.66,Kolkata
2026-06-21 19:57:13,SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,Blinkit,Delhi,Delhi,2017,95,460,198,73.25,12,19,4625.36,0.33,Delhi
2026-06-21 19:57:13,SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,Blinkit,Pune,Mumbai,3868,89,544,339,149.49,12,102,1978.14,0.17,Mumbai
2026-06-21 19:57:13,SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,More Retail,Pune,Bengaluru,1586,97,347,270,89.17,9,25,1519.44,0.17,Bengaluru
2026-06-21 19:57:13,SKU_1007,Coca Cola 750ml Family,Coca Cola,Beverages,More Retail,Hyderabad,Kolkata,949,179,108,57,30.82,14,80,1089.72,0.39,Kolkata
2026-06-21 19:57:13,SKU_1008,Coca Cola 1L Mini,Coca Cola,Beverages,BigBasket,Ahmedabad,Hyderabad,2459,124,703,347,89.68,5,40,4845.18,0.76,Hyderabad
2026-06-21 19:57:13,SKU_1008,Coca Cola 1L Mini,Coca Cola,Beverages,BigBasket,Kolkata,Ahmedabad,2651,128,1280,905,200.31,14,49,2763.08,0.43,Ahmedabad
2026-06-21 19:57:13,SKU_1008,Coca Cola 1L Mini,Coca Cola,Beverages,BigBasket,Bengaluru,Hyderabad,645,23,290,190,48.22,15,48,2995.43,0.14,Hyderabad
2026-06-21 19:57:13,SKU_1008,Coca Cola 1L Mini,Coca Cola,Beverages,More Retail,Hyderabad,Delhi,2634,121,1290,563,171.44,5,105,2530.08,0.36,Delhi
2026-06-21 19:57:13,SKU_1008,Coca Cola 1L Mini,Coca Cola,Beverages,More Retail,Kolkata,Bengaluru,193,108,112,89,20.47,7,29,626.84,0.89,Bengaluru
2026-06-21 19:57:13,SKU_1008,Coca Cola 1L Mini,Coca Cola,Beverages,Spencer's,Delhi,Ahmedabad,4214,124,1453,938,203.07,3,3,1651.66,0.8,Ahmedabad
2026-06-21 19:57:13,SKU_1008,Coca Cola 1L Mini,Coca Cola,Beverages,Spencer's,Mumbai,Mumbai,3523,83,718,355,127.5,3,7,1572.98,0.63,Mumbai
2026-06-21 19:57:13,SKU_1008,Coca Cola 1L Mini,Coca Cola,Beverages,Spencer's,Kolkata,Ahmedabad,1383,162,1024,629,142.68,12,66,3087.71,0.7,Ahmedabad
2026-06-21 19:57:13,SKU_1008,Coca Cola 1L Mini,Coca Cola,Beverages,Spencer's,Ahmedabad,Pune,600,57,355,236,74.71,3,68,4885.95,0.11,Pune
2026-06-21 19:57:13,SKU_1008,Coca Cola 1L Mini,Coca Cola,Beverages,JioMart,Pune,Hyderabad,2802,14,880,477,111.38,3,45,1585.07,0.64,Hyderabad
2026-06-21 19:57:13,SKU_1008,Coca Cola 1L Mini,Coca Cola,Beverages,JioMart,Ahmedabad,Delhi,859,21,245,132,36.25,7,105,3392.58,0.8,Delhi
2026-06-21 19:57:13,SKU_1009,Coca Cola 1L Regular,Coca Cola,Beverages,Star Bazaar,Kolkata,Pune,3247,149,894,526,196.59,2,97,3411.05,0.31,Pune
